nct_id,title,status,phase,enrollment_target,enrollment_type,n_sites,states,sex,min_age,max_age,conditions,eligibility_snippet
NCT07684677,Effect of Participating in a Study of Causes of Pregnancy Loss on Mental Health Outcomes: A Target Trial Emulation Using the COPL Cohort and Danish National Registries,ACTIVE_NOT_RECRUITING,NA,30000,ESTIMATED,1,No US/listed site,FEMALE,18 Years,No upper limit,"Pregnancy Loss, Early, Major Depression, Anxiety, Stress (Psychology)",Inclusion Criteria: Age above 18 years Born in Denmark Verified intrauterine PL before 22 weeks' gestation treated at a ...
NCT06338215,Advice of Moderate Drinking Pattern Versus Advice on Abstention on Major Disease and Mortality,RECRUITING,NA,10000,ESTIMATED,1,Navarre,ALL,50 Years,75 Years,"All Cause Mortality, Cardiovascular Diseases, Invasive Cancer, Liver Cirrhosis, Type 2 Diabetes, Depression, Dementia, Injury Traumatic, Tuberculosis, Infections","Inclusion Criteria: Males aged 50-70 years, Women aged 55-75 years Drinkers of any alcoholic beverage initially consumin..."
NCT05369429,My Wellbeing Guide: A Novel Tool for Managing Stress and Improving Quality of Life,RECRUITING,NA,6516,ESTIMATED,1,Illinois,ALL,18 Years,No upper limit,"Cancer, Anxiety, Depressive Symptoms",Inclusion Criteria: a) having been reached out to by the study team for recruitment; (b) planned treatment and follow-up...
NCT06981598,Prevention of Psychological Health Problems Via Integrated Operational Support,RECRUITING,NA,5586,ESTIMATED,1,New York,ALL,18 Years,No upper limit,"Depression, Anxiety, Grief, Leadership, Dissatisfaction",Inclusion Criteria: Service members seeing a behavioral health (BH) technician. Currently embedded BH technicians. Exclu...
NCT07091032,Building Connections,RECRUITING,NA,3600,ESTIMATED,1,Massachusetts,ALL,18 Years,75 Years,"Cancer Colorectal, Cancer Cervix, Depression, Anxiety, Obesity","Inclusion Criteria: The general inclusion criteria involve being 18+, speaking English or Spanish, and meeting one or mo..."
NCT07613008,Effectiveness and Implementation of a Personalized mHealth Intervention for the Universal Prevention of Maternal Perinatal Mental Disorders,RECRUITING,NA,3000,ESTIMATED,1,Sevilla,ALL,18 Years,No upper limit,"Perinatal Depression, Perinatal Anxiety",Inclusion Criteria: - Inclusion Criteria (Women) Must receive an invitation to participate from a healthcare professiona...
NCT06306092,Promoting Teenage Sleep for Improved Mental Health and School Performance,RECRUITING,NA,3000,ESTIMATED,1,Skåne County,ALL,13 Years,19 Years,"Mental Health Issue, Insomnia, Depression, Anxiety, Daytime Sleepiness, Wellness, Psychological",Inclusion Criteria: Students in Swedish high schools and upper secondary schools. Exclusion Criteria: -
NCT06456307,Integration of Stepped Care for Perinatal Mood and Anxiety Disorders Among Women Attending MCH Clinics,RECRUITING,NA,2970,ESTIMATED,2,No US/listed site,FEMALE,14 Years,No upper limit,"Depression, Anxiety, Antenatal Depression, Postnatal Depression",Inclusion Criteria: Pregnant and ≥28 weeks gestation Attending ANC care at the facility ≥14 years old Screen positive fo...
NCT06978257,Digital Positive Affect Intervention Study,RECRUITING,NA,2400,ESTIMATED,1,No US/listed site,ALL,21 Years,64 Years,Mild to Moderate Anxiety and Depression,Inclusion criteria Adults aged between 21 and 64 years Proficient in written and spoken English Ability to provide infor...
NCT06465381,Safety Planning and Cognitive Behavioral Therapy for Adolescent Suicide Prevention in Mozambique,RECRUITING,NA,2100,ESTIMATED,7,No US/listed site,ALL,,No upper limit,Suicide Prevention,Inclusion Criteria: Inclusion criteria for suicide risk screening: 1. Youth enrolled in a secondary school in Sofala Pro...
